Name	Type	Address	Phone
Waynesburg - PA (USA)	CONG	281 Washington Rd Waynesburg PA  15370-4822	724-802-7189
Washington - PA (USA)	CONG	70 Cleveland Rd Washington PA  15301-2502	724-222-8707
Carmichaels - PA (USA)	CONG	2460 E Roy Furman Hwy Carmichaels PA  15320	(724) 966-2894
Centerville - PA (USA)	CONG	906 National Pike W Brownsville PA  15417-9252	724-426-3850
Uniontown - PA (USA)	CONG	267 McClellandtown Rd Uniontown PA  15401	724-320-9207
Bethel Park - PA (USA)	CONG	3482 Washington Pike Bridgeville PA  15017-3635	412-221-7170
Bridgeville - PA (USA)	CONG	3482 Washington Pike Bridgeville PA  15017-3635	412-221-7170
South Hindi - Canonsburg PA (USA)	CONG	3482 Washington Pike Bridgeville PA  15017-3635	412-368-2364
Oakdale - PA (USA)	CONG	198 N Branch Rd Oakdale PA  15071-1505	412-573-9871
Monessen - PA (USA)	CONG	1596 Grand Blvd Monessen PA  15062-2238	724-684-6868
Industry - PA (USA)	CONG	6107 Tuscarawas Rd Industry PA  15052-1923	724-495-6510
Aliquippa - PA (USA)	CONG	1132 Morrow Rd Aliquippa PA  15001-5851	(412) 780-6485
Ambridge - PA (USA)	CONG	1132 Morrow Rd Aliquippa PA  15001-5851	724-318-5432
Sheraden - Pittsburgh PA (USA)	CONG	325 Lowenhill Ave Pittsburgh PA  15216-3922	412-353-9708
South Hills - Pittsburgh PA (USA)	CONG	325 Lowenhill Ave Pittsburgh PA  15216-3922	(412) 833-3246
West Spanish - Pittsburgh PA (USA)	CONG	325 Lowenhill Ave Pittsburgh PA  15216-3922	724-307-5708
Connellsville - PA (USA)	CONG	531 S 11th St Connellsville PA  15425	724-707-1750
West Carrick - Pittsburgh PA (USA)	CONG	2401 Raven St Pittsburgh PA  15210	(412) 282-3908
Central Chinese Mandarin - Pittsburgh PA (USA)	CONG	2401 Raven St Pittsburgh PA  15210	412 670 2790
Beaver Falls - PA (USA)	CONG	3122 37th St Ext Beaver Falls PA  15010-1218	724-843-2637
Allegheny - Pittsburgh PA (USA)	CONG	2701 N Charles St Pittsburgh PA  15214-3106	412-323-8631
West Allegheny - Pittsburgh PA (USA)	CONG	2701 N Charles St Pittsburgh PA  15214-3106	412-323-8631
Sign Language - Pittsburgh PA (USA)	CONG	2701 N Charles St Pittsburgh PA  15214-3106	(412) 323-8631
Swahili - Allegheny - Pittsburgh PA (USA)	GROUP	2701 N Charles St Pittsburgh PA  15214-3106	412-323-8631
North Hills - Pittsburgh PA (USA)	CONG	173 Reis Run Rd Pittsburgh PA  15237-1725	724-506-8217
Garfield Heights - Pittsburgh PA (USA)	CONG	322 Azure St Pittsburgh PA  15224-1022	(412) 897-7553
Terrace - Pittsburgh PA (USA)	CONG	322 Azure St Pittsburgh PA  15224-1022	(412) 897-7553
Central Russian - Pittsburgh PA (USA)	CONG	322 Azure St Pittsburgh PA  15224-1022	412-661-3520
Braddock - PA (USA)	CONG	1549 Bell Ave Braddock PA  15104-2635	412-271-7550
