Index,Name,Language,Comment,STATUS,Pubs,SUBURB,STATE,DATECLOSED,ADDRESS,PostalCode,,,,,
1,Aberfoyle Park,,,revoked,76,Happy Valley,SA,2018-09-01,102 Fraser Avenue,5159,,,,,
2,Albany West,,,revoked,90,Centennial Park,WA,2019-06-01,42 Wellington Street,,,,,,
3,Alexandra Hills,,,revoked,92,Wellington Point,QLD,2018-09-01,12-16 Nelson Road,4160,,,,,
4,Ardeer Maltese,MT,,revoked,32,Burnside,VIC,2014-12-01,27-33 Fraser Street,3020,,,,,
5,Athelstone Italian,I,,revoked,40,Campbelltown,SA,2016-02-01,63 Hambledon Road,5074,,,,,
6,Atherton South,,,revoked,73,Atherton,QLD,2016-04-01,48 Rockley Road ,4883,,,,,
7,Austinmer,,,revoked,89,Bulli,NSW,2018-09-01,179-181 Princes Highway ,2516,,,,,
8,Ballajura,,,revoked,102,Marangaroo,WA,2019-03-01,49 Berkley Rd,,,,,,
9,Blackburn,,,revoked,59,Mount Waverley,VIC,2018-06-01,116 Huntingdale Road,3149,,,,,
10,Bouke,,(isolated group),revoked,9,Bourke,NSW,2019-08-27,126 Meadows Road,,,,,,
11,Bridgetown,,,revoked,,Bridgetown,WA,2022-05-15,1 Corriedale Court,,,,,,
12,Bridgewater,,,revoked,41,Bridgewater,TAS,2018-01-01,10 Bowden Drive,7030,,,,,
13,Byron Bay,,,revoked,85,Lennox Head,NSW,2018-06-01,10 Cooper Close,2478,,,,,
14,Canley Vale Italian,I,,revoked,43,Bonnyrigg,NSW,2016-08-01,49-51 Brown Road,2177,,,,,
15,Canning Vale,,,revoked,,Willetton,WA,2017-10-01,86 Portcullis Drive,,,,,,
16,Cheltenham,,,revoked,80,Bentleigh East,VIC,2019-05-01,14-28 Anarth St,,,,,,
17,Clifton Hill Greek,,,revoked,,Preston,VIC,2021-06-01,57-59 David Street,,,,,,
18,Coolaroo Italian,I,,revoked,70,Coolaroo,VIC,2016-01-01,53-55 Glenelg Street,3048,,,,,
19,Cootamundra,,(now isolated group),revoked,11,Cootamundra,NSW,2019-06-01,177 Sutton Street,,,,,,
20,Croydon,,,revoked,70,Bayswater North,VIC,2018-12-01,22-24 Berry Rd ,3153,,,,,
21,Derby,,,revoked,7,Derby,WA,2016-09-01,13 Millard Street,6728,,,,,
22,Dianella,,,revoked,90,Dianella,WA,2018-03-01,44 Chelsea Court,6059,,,,,
